,Label
0,0
1,1
2,0
3,0
4,1
5,0
6,1
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,0
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,0
206,0
207,0
208,1
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,1
293,1
294,0
295,0
296,0
297,1
298,0
299,1
300,0
301,1
302,0
303,0
304,1
305,0
306,1
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,1
330,0
331,0
332,1
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,1
347,0
348,0
349,0
350,1
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,1
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,0
381,0
382,1
383,1
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,1
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,1
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,1
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,0
495,1
496,1
497,0
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,1
507,0
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,0
536,1
537,1
538,1
539,1
540,0
541,1
542,0
543,1
544,0
545,0
546,0
547,0
548,1
549,1
550,1
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,1
561,0
562,0
563,1
564,0
565,1
566,1
567,0
568,1
569,0
570,0
571,0
572,1
573,1
574,0
575,1
576,1
577,1
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,1
592,1
593,0
594,1
595,0
596,1
597,1
598,0
599,0
600,0
601,0
602,0
603,1
604,0
605,1
606,0
607,0
608,1
609,0
610,0
611,0
612,1
613,0
614,0
615,1
616,0
617,1
618,0
619,1
620,0
621,0
622,1
623,1
624,1
625,1
626,0
627,0
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,0
643,1
644,1
645,0
646,0
647,1
648,1
649,0
650,0
651,0
652,1
653,0
654,0
655,1
656,0
657,0
658,1
659,0
660,0
661,1
662,1
663,0
664,0
665,0
666,0
667,1
668,1
669,1
670,1
671,0
672,1
673,0
674,0
675,1
676,0
677,0
678,0
679,1
680,0
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,0
689,0
690,0
691,0
692,1
693,0
694,0
695,0
696,0
697,1
698,1
699,0
700,0
701,0
702,0
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,0
711,0
712,1
713,1
714,0
715,1
716,0
717,1
718,1
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,1
734,1
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,1
743,1
744,0
745,0
746,0
747,0
748,0
749,0
750,1
751,0
752,1
753,1
754,0
755,0
756,0
757,1
758,0
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,0
768,0
769,1
770,1
771,0
772,0
773,1
774,1
775,1
776,1
777,0
778,1
779,1
780,0
781,0
782,1
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,1
794,0
795,1
796,1
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,1
808,0
809,0
810,1
811,1
812,0
813,1
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,0
822,0
823,0
824,0
825,1
826,1
827,0
828,1
829,0
830,1
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,1
840,0
841,0
842,0
843,1
844,0
845,1
846,0
847,1
848,0
849,0
850,0
851,1
852,0
853,0
854,1
855,1
856,0
857,1
858,0
859,0
860,0
861,1
862,1
863,1
864,0
865,0
866,1
867,1
868,0
869,1
870,1
871,0
872,0
873,0
874,0
875,0
876,0
877,1
878,1
879,0
880,1
881,0
882,0
883,1
884,1
885,1
886,0
887,0
888,0
889,1
890,0
891,1
892,0
893,0
894,0
895,0
896,0
897,1
898,1
899,1
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,1
909,0
910,0
911,0
912,1
913,1
914,0
915,1
916,1
917,0
918,0
919,1
920,0
921,0
922,1
923,0
924,0
925,1
926,0
927,1
928,0
929,0
930,0
931,1
932,0
933,0
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,1
943,1
944,0
945,0
946,0
947,0
948,1
949,0
950,1
951,0
952,1
953,1
954,1
955,0
956,0
957,1
958,1
959,0
960,1
961,0
962,0
963,0
964,0
965,0
966,1
967,1
968,1
969,1
970,1
971,0
972,0
973,0
974,0
975,1
976,1
977,0
978,0
979,0
980,0
981,1
982,0
983,0
984,0
985,0
986,1
987,0
988,1
989,1
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,1
999,1
1000,0
1001,1
1002,0
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,1
1020,0
1021,1
1022,0
1023,1
1024,1
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,1
1040,1
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,1
1057,0
1058,0
1059,1
1060,1
