,Text,Label,Clean Text
0,@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen. ,0, user bono care soon people understand gain nothing following phony celebrity become leader people instead help support fellow countryman 
1,@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president. ,1, user eight year republican denied obamas pick breitbarters outrage phony fake president 
2,@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time ,0, user get line help gonna fine game went could see progressing read brought missing deep ball presence need little time 
3,@user @user She is great. Hi Fiona! ,0, user user great hi fiona 
4,@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance ,1, user become parody unto certainly taken heat anwell idiot could optic  know liberal  theyre optic  substance 
5,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?"""" ",0, user user user user user user user user user user user user user user user vetsresistsquadron bullshit girl scout veteran never met veteran served anyone gun control advocate 
6,@user Your looking more like a plant #maga #walkaway ,1, user looking like plant maga walkaway 
7,@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA ,0, user user lol except he successful president lifetime he undone damage obummer set america right path maga 
8,@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? ,0, user willie fan since bornlove holding rally beto exactly fan furious  could give specific 
9,@user Here's a link to my channel with a plethora of topics to peruse: ,0, user here link channel plethora topic peruse 
10,@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames. ,1, user antifa would burn conservative house cnn would lighting torch amp throwing gas flame 
11,"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate"""" ",1, user cite jones banned violating twitter tos blue checkmarks spewing worse kind shit going play anyone get banned card shouldnt people also receive ban suspension verifiedhate 
12,@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild! ,0, user friend ordered  pair levi called cancel gun control wow getting wild 
13,@user @user Lmfaoooooo ,0, user user lmfaoooooo 
14,@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well. ,0, user goodell fired year ago look like owner let steer ship right iceberg oh well 
15,@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔 ,0, user user common message liberal democrat   remember nancy pelosi approve health care package obama care well see whats afterwards 
16,@user also shitbiscuit stole most of the Tempe girls u can't blame that on me.. ,1, user also shitbiscuit stole tempe girl u cant blame 
17,"@user @user Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. I'm just talking into the void."""" ",1, user user well see start talking dana sensible gun control law ignores call tragedy dryhumping whore user arent conversation im talking void 
18,@user @user You mean the way Hillary re-victimized all of Bills accusers? ,0, user user mean way hillary revictimized bill accuser 
19,GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS! ,0, great comedy cnn  news  much  maga  licensereporters 
20,@user You are so fragile. It must be hard to live that way. ,0, user fragile must hard live way 
21,@user All you do is lie. All congress does us lie.  MAGA. ,1, user lie congress u lie  maga 
22,@user Freudian slip. ,0, user freudian slip 
23,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user He also clarified that there is the water birth when we are physically born. Then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by His blood at salvation when our sin debt is paid! Praise God ,1, user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user also clarified water birth physically born spiritual birth obviously spiritually die sinful flesh reborn sinless cleansed blood salvation sin debt paid praise god 
24,@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda pusher...or likes gloating to other #MAGA's that they got screwed by Trump. ,1, user user wasting time replying twitter trolling behalf people making amount  seems like someone propaganda pusheror like gloating magas got screwed trump 
25,@user We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins ,1, user leveon bell thats dumbest argument compare college played best season  yds  tds collins conners first year starting starting much better collins 
26,@user @user SHE IS A FUCKING MESS!! I HATE HER SO MUCH ,1, user user fucking mess hate much 
27,@user He is so underrated and I love how pure he is as a person ,0, user underrated love pure person 
28,@user Haha we set then 😂 ,0, user haha set  
29,@user he is a psychic ain’t he ,0, user psychic aint 
30,@user I was think she jisoo but I’m Focused I found she is taeyoun ,1, user think jisoo im focused found taeyoun 
31,@user I am stunned that you are giving this guy airtime. Stunned. ,0, user stunned giving guy airtime stunned 
32,@user She Wants Gun Control? Figures ,0, user want gun control figure 
33,@user @user @user Didn't see him matching with antifa tbh ,0, user user user didnt see matching antifa tbh 
34,@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values. ,0, user user user conservative longer conservative think maxime bernier started new party follow original conservative value 
35,@user Holy shit I love her??? ,1, user holy shit love 
36,@user @user @user Can you let him know? ,0, user user user let know 
37,@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day ,0, user user user user user user sir come something present lie fact shame fact  labour voter voted remain ref yougov poll position based false premisehave nice day 
38,@user @user A stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user ,0, user user stark reminder user trying con u chequer bit water back  good enough  user user  user user user user user user appeasing good look user 
39,@user @user WHERE'S holier than thou @user  Sippin wine in the shade somewhere...  #MAGA ,0, user user wheres holier thou user  sippin wine shade somewhere  maga 
40,@user I can’t cuz that nigga retarded smh ,1, user cant cuz nigga retarded smh 
