Text,Label,Clean Text
@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you… ,0, user nice new signage concerned beatlemania style hysterical crowd crongregating 
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎 ,1, woman fucked multiple time saying yo dick small compliment know u hit spot  
@user @user real talk do you have eyes or were they gouged out by a rapefugee? ,1, user user real talk eye gouged rapefugee 
your girlfriend lookin at me like a groupie in this bitch! ,1, girlfriend lookin like groupie bitch 
Hysterical woman like @user ,0, hysterical woman like user 
Me flirting- So tell me about your father... ,0, flirting tell father 
"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great... ",0, philippine catholic bishop work migrant worker focus family paying great 
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch ,1, going ex bf lieing sack shit  im done dude thats dumped as cause lieing  bitch 
When cuffin season is finally over ,0, cuffin season finally 
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?  ",1, send home migrant need protection peter dutton tell un hey dutton one stayed left country overstayers  dont go round   
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes. ",1, cory booker kamala harris competing hysterical woman kavanaugh hearing coulter hilariously tweetedand yes liberal immediately got triggered twitter saying joke offensive say suck snowflake 
Only that in you which is me can hear what I'm saying. ~Baba Ram Dass ,0, hear im saying baba ram das 
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome ,1, let libyan manchester bomber rot country many mass murderer royal navy import britain many terrorist ngo rescue international water refugeesnotwelcome 
More migrants take sea route to #Spain than Italy this year: UN ,0, migrant take sea route spain italy year un 
"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure. ",0, essential reading scribner nebraska considering antiimmigrant ballot measure 
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen ",1, account temporarily inactive due irrational woman reporting u twitter lack judgement shocking yesallmen 
RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this. ,0, rt user user flattered tbh got orgasm thinking really good 
"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky. ",0, making look anatomically correct make bland woman tiny fit men bulky 
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes ,1, listen love lil b would fuck dej loaf prob got poison nail polish like bitch hole 
@user @user keep calling her a bitch and a whore dude real grown up. ,1, user user keep calling bitch whore dude real grown 
"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user ",1, glad another nice vacation hows illegal border crossing illegal oportunistic migrant entry tax payer funded hotel room without strategic plan going user user user user user user 
"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops ",1, user unchecked populationampmigration city biggest evil dirty indiadisincentive large familiessuch withdrawl sop 
"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe ",1, illegal alien hit man dragged block deadly duo crash buildthewall noamnesty nodaca deportthemall keepamericasafe 
An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle... ,0, honest article illegal immigration lefty pig flying      miracle 
@user @user @user @user please spread the word  -&gt;&gt; using frequent flyer miles to reunite immigrant families! ,0, user user user user please spread word  gtgt using frequent flyer mile reunite immigrant family 
"knuckle up cause I'll fight for mines Yo pussy petty, U wasting time .. U seasonal, part time U get fucked up fuckin w/ mine U lil bitch ",1, knuckle cause ill fight mine yo pussy petty u wasting time  u seasonal part time u get fucked fuckin w mine u lil bitch 
"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi… ",0, yes woman protest irrational hysterical bitter spinster  long history using shit dismi 
@user Not all men are animals. You Libs want muslims to come over still? Better pick a side. ,0, user men animal libs want muslim come still better pick side 
"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @user ",0, federal judge trump imminent danger irreparable injury refugee visaholders etc user 
This bitch whom I won't name on Facebook is such a shameless woman ruining a relationship. #getalife #stopspreadinglies #hoe ,1, bitch wont name facebook shameless woman ruining relationship getalife stopspreadinglies hoe 
@user @user Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard ,1, user user omg gave number didnt say cunt girl cunt giving random fucktard 
Why we need to protect refugees from the ‘˜big ideas’ designed to save them @user @user @user @user @user @user @user ,0, need protect refugee big idea designed save user user user user user user user 
Kevin Rosero of the Latino Immigrant Experience Oral History Project #NJHRIC #NewarkPublicLibrary needs help identifying Newark Latino immigrant residents to interview and capture their stories and experiences. MORE INFO: ,0, kevin rosero latino immigrant experience oral history project njhric newarkpubliclibrary need help identifying newark latino immigrant resident interview capture story experience info 
@user Are you pussy grabbing tonight?? ,0, user pussy grabbing tonight 
"Some people really dont understand why I get so upset at injustices happening in this country. Trust me, it's not that I like getting my panties in a wad over dumb things. It's the fact that people like me (minority, brown, immigrant, etc) r suffering and it affects me directly ",0, people really dont understand get upset injustice happening country trust like getting panty wad dumb thing fact people like minority brown immigrant etc r suffering affect directly 
I've been called a son of a whore and a cunt today already. It's not even 1 yet ,0, ive called son whore cunt today already even  yet 
"Pope Francis: Immigrants Provide ‘˜Enrichment’ to Society, Not ‘˜Threats’ ",0, pope francis immigrant provide enrichment society threat 
"What were they planning to do with the immigrant children they kidnapped? Slavery, sex traffic, organ harvesting? ",0, planning immigrant child kidnapped slavery sex traffic organ harvesting 
masturbate intensive for that whore slut ,0, masturbate intensive whore slut 
The Truth about #Immigration ,0, truth immigration 
@user @user Must Make Illegal #Immigration and Over Stays a Felon Pass Mandatory E-Verify for #Jobs and Welfare  #Trump #MAGA #RedNationRising ,1, user user must make illegal immigration stay felon pas mandatory everify job welfare  trump maga rednationrising 
"@user immigration on mass in Europe Kills our Culture our languages and over stretches our own resources such as Hospitals ,Schools ,now Italy ,Greece , etc , Your right send them back home but please do not separate families Islamic countries ",1, user immigration mass europe kill culture language stretch resource hospital school italy greece  etc  right send back home please separate family islamic country 
Lebanese Christian victim of a quarrel between Syrian refugees carrying knives &amp; cleavers in Lebanon ,0, lebanese christian victim quarrel syrian refugee carrying knife amp cleaver lebanon 
"CoreCivic found its best interest is to grow US detention capacity, for women and children, by over 450%. Expanding the number of mother-child beds from 3,500 up to 20,000. This signals the largest increase in immigrant detention since WW2 #ResistICENashville photo: Julie Henry ",0, corecivic found best interest grow u detention capacity woman child  expanding number motherchild bed   signal largest increase immigrant detention since ww resisticenashville photo julie henry 
I wonder is this is where Caitlyn gets his car services 🌚 ,0, wonder caitlyn get car service  
"@user Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉 ",1, user uhhhhhh thats stupid little bitch maam  
Bishop appeals to church groups to take action as migrants now account for 11 percent of reported cases ,0, bishop appeal church group take action migrant account  percent reported case 
Because some women are stupid ,1, woman stupid 
@user BITCH TEXT ME ,1, user bitch text 
"because they had a cross on !! The lovely NHS  cannot get 100 Indian Doctors over from India because of Immigration rules ,good  do we want to hire from a land of Rapists and ignorant beliefs sadly we cannot get enough training places here, why dont we use nurse Practitioners# ",1, cross  lovely nh  cannot get  indian doctor india immigration rule good  want hire land rapist ignorant belief sadly cannot get enough training place dont use nurse practitioner 
"@user RT @user Don't betray Your #Voters on #Immigration. #Americans, #WeThePeople, & the #USA reject #DACA, #Amnesty, the #DreamAct, & all #illegal immigration. Do Not Break Our Constitutional Laws. Deport all illegals & #DACA immigr ",1, user rt user dont betray voter immigration american wethepeople  usa reject daca amnesty dreamact  illegal immigration break constitutional law deport illegals  daca immigr 
@user Elizabeth Warren's radical agenda to abolish ICE and create open borders must be stopped. Geoff Diehl is the only candidate with a proven record of fighting illegal immigration. VOTE FOR @user FOR SENATE in MA ,1, user elizabeth warren radical agenda abolish ice create open border must stopped geoff diehl candidate proven record fighting illegal immigration vote user senate 
What an absolute cock womble this cunt is. Does she also alude to the fact she recieved FREE university education aswel. ,1, absolute cock womble cunt also alude fact recieved free university education aswel 
No matter what color a girl is she still a ho 😂😂 ,1, matter color girl still ho  
"@user I am not forcing anyone. I am just putting out my view. People believe it or not is their prerogative.Even if a single person agree with me, it is ok with me. Thanks, ",0, user forcing anyone putting view people believe prerogativeeven single person agree ok thanks 
#FactCheck 👍 #BoycottUnitedArlines #AidingAndAbetting #Felons #WeThePeople are FED UP #EnoughIsEnough #ICE #DHS #DOJ #WakeUpAmerica #StopTheInvasion ,0, factcheck  boycottunitedarlines aidingandabetting felon wethepeople fed enoughisenough ice dhs doj wakeupamerica stoptheinvasion 
"#NRC Assam Govt must initiate immediate action 2 cancel Voting id cards &amp; Aadhaar cards of the identified illegal migrants Let ""commited"" political dogs bark any length &amp; as loud as they can Nation must remain firm on its security concerns ",0, nrc assam govt must initiate immediate action  cancel voting id card amp aadhaar card identified illegal migrant let commited political dog bark length amp loud nation must remain firm security concern 
"@user Dan, WAY too tough to choose between all the lying, deceitful corrupt losers representing Dems (& some GOP). The list is long & disgusting. Embarrassing that we pay these lying losers large salaries to corrupt our democracy.#MAGA #KAG #POTUS #Tr ",1, user dan way tough choose lying deceitful corrupt loser representing dems  gop list long  disgusting embarrassing pay lying loser large salary corrupt democracymaga kag potus tr 
"Russia, Turkey, Jordan are in talks on return of Syrian refugees ‘“ Lavrov ",0, russia turkey jordan talk return syrian refugee  lavrov 
"@user @user No.....really? A refugee? They are here to enrich our cultures, right? I bet ya he's older than 17 too....#sendthemback it's not late to save Europe ",1, user user noreally refugee enrich culture right bet ya he older  toosendthemback late save europe 
NEVERRRRRRRRRRR ,0, neverrrrrrrrrrr 
"Thank you, @user for taking a stand. It's up to all of us to fight misinformation and anti-immigrant hate. #SourcesMatter ",0, thank user taking stand u fight misinformation antiimmigrant hate sourcesmatter 
And now another flood of immigrants coming our way.#BuildThatWall ,1, another flood immigrant coming waybuildthatwall 
Nothing irks me more than when bitches end it with a good guy then complain about getting hurt by a douche bag. #WakeUpYouWhore ,1, nothing irks bitch end good guy complain getting hurt douche bag wakeupyouwhore 
Realizing the rights of Eritrean refugees in Israel. A new article:https://t.co/0SsTUvgQ6z ,0, realizing right eritrean refugee israel new articlehttpstcosstuvgqz 
Judge orders government to release immigrant kids from Texas shelter | The Texas Tribune ,0, judge order government release immigrant kid texas shelter  texas tribune 
@user @user @user Don't dare to tell us about Syrian refugees. ,0, user user user dont dare tell u syrian refugee 
"@user @user It should foment anger. Only idiots open their borders to people who will NEVER assimilate. Majority of Black Africans coming into Europe are NOT refugees and had the money to pay for trip over, which is expensive. ",1, user user foment anger idiot open border people never assimilate majority black african coming europe refugee money pay trip expensive 
This is what Trump supporters call humane smh ,0, trump supporter call humane smh 
MegynKelly is skank. Whore paid $$ for what? Only thing left to watch on .@nbc anymore is SNL. More truth to them t… ,1, megynkelly skank whore paid  thing left watch nbc anymore snl truth 
"#OccupyICEPHL was delighted to learn that Charlie Kirk, the anti-immigrant, anti-Muslim, conspiracy theory-touting, founder &amp; executive director of the white nationalist-allied Turning Point USA (TPUSA) didn't have a very good morning either. #NationalistsNotWelcome ",0, occupyicephl delighted learn charlie kirk antiimmigrant antimuslim conspiracy theorytouting founder amp executive director white nationalistallied turning point usa tpusa didnt good morning either nationalistsnotwelcome 
"Med not a house/EU not adult day care camp for migrants seeking handouts or to profit from crime.Tunisia abusing #Italy EU, which has leverage bt lacks courage to use it. #Salvini must send messageðŸ‘‰either stop boats &amp; take back citizens or we bury you economically, esp. leaders ",0, med houseeu adult day care camp migrant seeking handout profit crimetunisia abusing italy eu leverage bt lack courage use salvini must send messageeither stop boat amp take back citizen bury economically esp leader 
@user good girl ,0, user good girl 
you know your women are stupid just like you're_ bitch please did i fuck you_ what importance do you have in my life_ are you retarded_ 😏🌹 ,1, know woman stupid like youre bitch please fuck importance life retarded  
Don't you hate how girls just Whore around because they never got daddy's attention ?? And so they have to interfere in relationships.. hoe ,1, dont hate girl whore around never got daddy attention  interfere relationship hoe 
"@user Greedy, you have to talk about this tomorrow including the hysterical responses. ",0, user greedy talk tomorrow including hysterical response 
@user Wow!! Never seen a woman juggle a big cock like that ,1, user wow never seen woman juggle big cock like 
"Fuck you, you hoe I don’t want you back ",1, fuck hoe dont want back 
@user Screw her and her beliefs!! Send them packing!! This is a Christian nation with Christian laws. #BuildThatWall #kag ,1, user screw belief send packing christian nation christian law buildthatwall kag 
@user You are the sloppy queen of sucking cock ,1, user sloppy queen sucking cock 
World Relief is continuing to provide legal aid and advocating for immigrant families who have been separated at the U.S.-Mexico border. You can make a difference and help reunite families by making a donation today. âž ,0, world relief continuing provide legal aid advocating immigrant family separated usmexico border make difference help reunite family making donation today  
"@user Africa for Africans, Asia for Asians, White countries for everyone IS White Genocide.Some basic truths:  Access to White people is not a human righthttps://t.co/c0gHvd6iMBRemigration 2018:  Easy come, easy GO!!   ",1, user africa african asia asian white country everyone white genocidesome basic truth  access white people human righthttpstcocghvdimbremigration   easy come easy go   
@user you dumb cunt you trick 12 and 30 year old virgins into giving you money you fucking bitch. kys honest… ,1, user dumb cunt trick   year old virgin giving money fucking bitch ky honest 
From refugee to sole survivor - How one Syrian has become shoemaker to the famous ,0, refugee sole survivor  one syrian become shoemaker famous 
"@user @user @user @user Earth to Andrew, come in Andrew:   its about immigration.Denying Canadians their right to survive and defend their racial interests IS 'racial hatred'.  IN fact its White Genocide. Its a crime: Access to White peopl ",1, user user user user earth andrew come andrew   immigrationdenying canadian right survive defend racial interest racial hatred  fact white genocide crime access white peopl 
"When you're sneaking in after a long, hard night of cheating and don't wanna wake your girl cause you're a good guy ",0, youre sneaking long hard night cheating dont wanna wake girl cause youre good guy 
"@user sweetie, how the hell can you take “oh my god that’s a DICK?!?!?!?!” Style monologue ",0, user sweetie hell take oh god thats dick style monologue 
"Absolutely perfect keep the whole lot of Illegal Aliens out, now maybe libtarded snowflakes will be happy they are not being split up? #maga #kag #nodaca #noamnesty #BuildThatWall #BuildTheWallNow #BuildTheDamnWall #BuildTheWall ",1, absolutely perfect keep whole lot illegal alien maybe libtarded snowflake happy split maga kag nodaca noamnesty buildthatwall buildthewallnow buildthedamnwall buildthewall 
Hundreds of Syrian refugees return home from Lebanon - ABC News ,0, hundred syrian refugee return home lebanon  abc news 
"VIDEO: Immigrant activist who climbed Statue of Liberty has a new song: ""America, you motherfuckers,... ",0, video immigrant activist climbed statue liberty new song america motherfucker 
Turkish government must immediately take precautions to protect it's borders and find solution for the trouble in Syria or else Turkey will be a refugee storage in the near future and this is a big threat for our survival #nomorerefugees ,1, turkish government must immediately take precaution protect border find solution trouble syria else turkey refugee storage near future big threat survival nomorerefugees 
"//'We will send back the illegal immigrants to Bangladesh. Tough days are ahead, we will not tolerate any illegal immigrants in Bengal.'With these statements, West Bengal... ",1, send back illegal immigrant bangladesh tough day ahead tolerate illegal immigrant bengalwith statement west bengal 
RT @user I bet a lot of people's therapists are dying to meet me just to see if the stories are true. ,0, rt user bet lot people therapist dying meet see story true 
HOLLERINGGGGGGG. stupid baby bitch. ,1, holleringgggggg stupid baby bitch 
a bitch in which I find attractive can take her sock off and my dick will suddenly become hard as shit .. ,1, bitch find attractive take sock dick suddenly become hard shit  
RT @user 'You miss 100% of the shots you don't take.' -- Wayne Gretzky ,0, rt user miss  shot dont take  wayne gretzky 
